name,transcription
Recording (100)_chunk_0000.wav,हामीलाई बोलाउँछन् हिमचुली राम्रा उकालीमा उचालिन्छन् हल्का पाइला हाम्रा उकालीको चिसो पानी
Recording (100)_chunk_0001.wav,अँजुलीले खाउला देउरालीको बिसौनीमा सुसेरीले गाउला
Recording (100)_chunk_0002.wav,भनभित्र डढुङ्गामाथि गाउँलन् गठालिनी गाईलाई बोलाउलन् लाला उदी नानी
Recording (100)_chunk_0003.wav,उनी सोतेन हामीलाई कहाँ जाने दाई भन्नुपर्र्ला हिमालको बुटी खोज्नलाई
Recording (100)_chunk_0004.wav,दोरिेटोमा कस्तुरीले तिरिन् च्यापी हेर्लान् पातैपात चरा नाच्ने पातलले घेर्लान्
Recording (100)_chunk_0005.wav,टाकुरामा कुहिराको दौडादौडी होला
Recording (100)_chunk_0006.wav,लेखदेखि इन्द्रणीलाई बनबेसी छोला भेडाचर्लान् निगाालाको टुप्पो हिलाएर
Recording (100)_chunk_0007.wav,चर्मिन सर्लाल चमेरका झुपी छझुलाएर
Recording (100)_chunk_0008.wav,मग मग बुकी फुलको बासनाले ढालला
Recording (100)_chunk_0009.wav,उत्तरमा झुक्ने धुपी उत्तरैमा ढाक्ला नागियुमा
Recording (104)_chunk_0000.wav,कुनै पनि देशको मुख्य परिचायक तत्त्व भनेको संस्कृति हो नेपाल पनि आफ्नै संस्कृतिका कारण विश्वमा सबै
Recording (104)_chunk_0001.wav,सबैतिर चिनिएको छ नेपाल बहुजातीय र बहु सांस्कृतिक देश हो नेपालमा बसोबास गर्न
Recording (104)_chunk_0002.wav,सबै जातिका आ आफ्नै संस्कृति छन् खस नेवार राई गुरुङ तामाङ लगायत
Recording (104)_chunk_0003.wav,सबै जातिका आआ आफ्नै संस्कृति छन् सर्वप्राचीन वैदिक संस्कृतिको आधारभूमि र संसारमै लोकप्रिय
Recording (104)_chunk_0004.wav,लोकप्रिय बनेको बौद्ध संस्कृतिको उद्गम स्थल नेपाल नै हो
Recording (104)_chunk_0005.wav,नेपाली संस्कृतिमा म मात्र खााउँ म मात्र लाउँ स्वार्थी भावना नभई सबै निरोगी र
Recording (104)_chunk_0006.wav,र खुसी हुन् अनि सम्मानपूर्वक बाँच्न पाउन् भन्ने भाव रहेको छ नेपालमा रहेको सबै जातिमा
Recording (104)_chunk_0007.wav,जातिका संस्कृतिको साझा विशेषता चाहिँ प्राकृतिलाई कुनै न कुनै रूपमा पूजा गर्नु हो
Recording (104)_chunk_0008.wav,यस्तै आमाबुवा पाहुना र गुरुलाई देवता मान्ने संस्कृति नेपालको साझा संस्कृति हो यसरी
Recording (104)_chunk_0009.wav,नेपाली संस्कृतिका उत्कृष्ट विशेषता हुँदाहुँदै पनि यसमा केही विकृति पनि देखिन थालेका छन्
Recording (104)_chunk_0010.wav,यस्ता विकृतिबाट मानिसमा ठगाह मिचाह हेपाह चुसाह र लु
Recording (104)_chunk_0011.wav,लुटाहा प्रवृत्तिको विकास हुन्छ यस्ता प्रवृत्ति भएको मान्छे निष्क्रिय हिंसक
Recording (104)_chunk_0012.wav,पियक्कर मान्छेले आफूलाई जतिसुकै बुछक्कर थाने पनि तिनीहरू प्राय
Recording (104)_chunk_0013.wav,झुलक्कड नै हुने भएझै विकृतिमा रमाउने मानिस पनि समाजमा
Recording (104)_chunk_0014.wav,यस्ता व्यक्तिमध्ये कोही कोही आर्थिक रूपमा समृद्ध र सुख होलान् तर विकृतिमा रमाउने हुन्छ सधैँ दुगृत
Recording (104)_chunk_0015.wav,भने झै अरूलाई ठगेर एवम् दुःख दिएर कमाएको धनसम्पत्ति विविद कारणवश नष्ट हुन्छ
Recording (104)_chunk_0016.wav,यिनीहरू फिरन्दे र मगन्ते जीवन जिउन बाध्य हुन्छन् निष्क्रिय जीवन जिउनको त प्र
Recording (104)_chunk_0017.wav,प्रकृतिको सम्भावना नै रह रहँदैन यसैले सांस्कृतिक उन्नतिको सूचक हो भने विकृति अवनतिकारक हो
Recording (11)_chunk_0000.wav,थाङ्गा कलाको उत्कृष्ट रूप त हुँदै हो साथसाथै यो सुन्दर प्रविधि पनि हो
Recording (11)_chunk_0001.wav,यसका लागि सर्वप्रथम सरेस बनाइन्छ सरेस भनेको जनावरको छाला पानीमा उमालेर बनाइएको चिप्लो बाक्लो झोल हो
Recording (11)_chunk_0002.wav,त्यसपछि सरसमा कमेरो माटो हालेर पकाइन्छ र एक प्रकारको गम जस्तो माड तयार पारिन्छ
Recording (11)_chunk_0003.wav,त्यो माडलाई फ्रेममा तन्काइएको सेतो कटन वा सिल्क कपडामा दलिन्छ र सुकाइन्छ
Recording (11)_chunk_0004.wav,यसरी बनाइएको कपडालाई तन्काएर तीन चार पटकसम्म चिल्लो ढुङ्गा वा शङ्खले घोटिन्छ
Recording (11)_chunk_0005.wav,यसो गर्दा कपडा चिल्लो हुन्छ र चित्र कोर्न योग्य बन्छ
Recording (12)_chunk_0000.wav,थाङ्गा कोर्ने काममा पनि विभिन्न चरण र प्रक्रिया हुन्छन् सर्वप्रथम खाइबाले सिसा कलमले चित्र स्केच गर्छन्
Recording (12)_chunk_0001.wav,स्केच गरिएको चित्रलाई तलमाथि नपरोस् भन्ने उद्देश्यले ट्रेसिङ पेपरमा उतारिन्छ त्यसपछि स्केच गरिएको चित्रमा रङ भर्ने काम हुन्छ
Recording (12)_chunk_0002.wav,रङ भर्ने कामपछि चित्रलाई स्पष्ट देखिने गरी लाइन कोर्ने काम गरिन्छ
Recording (12)_chunk_0003.wav,त्यसपछि सुन्दलिन्छ थाङ्कामा चौबिस क्यारेटको गुणस्तरीय सुन्दल्ने चलन छ
Recording (12)_chunk_0004.wav,यसका लागि सर्वप्रथम सुनलाई सरेसँग मिलाएर पानीमा घोलिन्छ
Recording (12)_chunk_0005.wav,यसरी घोल्दा पानी माथि हुन्छ र पग्लेको सुन तल जान्छ पग्लिएको सुनको लेपलाई
Recording (14)_chunk_0000.wav,त्यही बेला नेपाल र तिब्बतका बीचमा स्वतन्त्र रूपमा आवतजावत हुन्थ्यो सोझो व्यापारिक सम्बन्ध थियो
Recording (14)_chunk_0001.wav,नेपालीहरू तिब्बतमा व्यापार व्यवसाय मात्र होइन घर गृहस्थी गरेर बस्थे
Recording (14)_chunk_0002.wav,त्यतिबेला नेपाल तथा तिब्बतका बौद्ध मार्गहरूमा कपडामा लेखिएको देवी देवताको पूजा गर्ने चलन थियो
